"Age","Australia","Asia","Europe","Other"
20,239626.542818982,35049.8273008038,8219.92091397642,18492.7089662377
21,239934.284220763,43909.1902808169,8824.28075613907,19989.2447422806
22,239809.904210996,45263.9069169383,9200.18711286732,20244.001759198
23,237751.247463772,50089.8213178795,10137.9690327105,21947.9621856383
24,238389.352723105,57887.2288067767,11304.6337670154,23485.7847031028
25,237647.748036987,64841.5007814689,12860.834509169,25725.9166723746
26,242527.409635798,69085.840618584,14454.2617813341,27235.4879642842
27,239672.830013884,70613.6217743094,16220.1502369895,29085.3979748169
28,238256.044267524,72517.3813653448,17490.6940191749,30964.8803479559
29,236371.038121411,74596.8265422964,18994.8234506571,32518.3118856358
30,237018.68913102,79129.1849898836,20702.3286715692,35147.7972075268
31,232784.670922198,84120.107803348,21116.1081201089,36582.1131543446
32,225652.3081462,85994.137171772,21623.9719607198,37003.5827213082
33,219370.392828514,88027.6233360629,22928.4990619029,37829.4847735207
34,218254.657808998,88701.545595587,22836.3123168419,38274.4842785727
35,218516.636611034,90485.0129379179,23409.5848764422,39563.7655746058
36,216596.000170762,91351.7972456071,23561.7010980004,39869.5014856304
37,214489.818444202,89848.9684355775,23498.8796067383,40126.3335134824
38,215415.312329991,90739.3233566025,23572.653364677,39731.7109487295
39,210171.268925492,85363.0346152255,23366.2343220865,39121.4621371961
40,209038.695788025,79038.0273875005,24901.9702788864,38822.3065455885
41,197917.107482392,73078.7905625217,25211.2276933767,37912.87426171
42,198514.466300252,67393.7935667189,25057.6000405459,36861.1400924832
43,197763.133450157,61676.6502364027,23934.3797387998,35297.8365746404
44,199351.693115558,58440.8855780572,23474.4147158194,35190.0065905653
45,202332.282315511,54715.4079358092,24202.4463142308,35231.8634344485
46,207325.733370332,52315.0703242686,24579.5178783795,35087.6784270197
47,215144.384157804,48993.5055029759,25700.5075291898,34684.6028100303
48,221411.940255964,47793.0592912849,27350.7748550877,34855.2255976635
49,234562.880779926,46030.9459189874,28238.7940004788,35436.3793006083
50,241061.264764153,44688.9212036541,30536.7414624746,35265.0725697184
51,219693.897519293,42166.5206413046,29966.6920567591,34232.8897826431
52,216021.924998856,40000.4666843148,32743.6655228085,33926.9427940206
53,202863.224394573,38283.9186005632,35105.8936291493,32665.9633757147
54,197779.344970046,34416.3984816816,37326.9653345264,32191.291213746
55,193434.349604082,36079.6511701566,38854.9277494281,31591.0714763329
56,193837.359728641,36344.3070298739,40974.0340384716,31481.2992030136
57,200320.013505114,37906.5216384121,41754.5614880081,31166.9033684661
58,203654.212867302,39137.2064269422,42313.896806655,30362.683899101
59,205467.022322168,35191.6178753191,41835.516165903,30206.8436366096
60,206524.416767136,33920.0792174973,41322.4601698783,29133.0438454884
61,197080.479080414,33725.2444680731,40408.4431652796,27570.8332862331
62,194033.304679179,31759.4010154293,40276.5366914707,27095.757613921
63,188744.013385371,33157.532499696,39022.9481943385,25321.5059205944
64,183261.446485886,32663.2129336645,38758.9536668443,24333.3869136054
65,179148.348056728,32373.0007622186,39268.8058575344,23571.8453235194
66,174380.973116444,30339.0740399581,38770.4701386463,22720.4827049519
67,167978.428363179,27938.2485063258,40093.9560541542,21491.3670763406
68,168105.931671552,25169.5281691895,40692.4640920678,20694.0760671909
69,161285.636365985,23288.7979103077,41504.0970798552,19644.4686438525
70,156622.284501696,21876.8938896016,44014.4540533891,18668.3675553134
71,149715.952321559,21101.374760531,46828.0997581756,18213.5731597342
72,139339.884798772,19111.9708440759,50902.3791252755,17120.7652318764
73,134914.301303356,17162.839941778,55369.0357059886,16545.823048877
74,144269.703079727,15220.4037266515,58300.2463371298,15478.646856492
75,115842.822303025,12425.1353806667,47883.633371233,13282.4089450755
76,113328.617037095,10871.6499049698,41980.2094502635,12010.523607672
77,104804.432300842,10077.5136871777,41183.246888113,10765.8071238669
78,89937.5583318657,8845.2288070917,37555.813498004,9588.39936303863
79,88957.0940734272,8313.6667603174,35419.0575344546,8839.18163180075
80,77426.0340528063,7777.01975601948,34273.3077810915,8184.63841008273
81,71116.2226798932,7448.4470145965,34382.5248086626,7360.80549684777
82,66474.4926625552,6506.90870684213,32499.8689166222,6089.72971398048
83,60729.3252965694,6129.29637704392,29717.2400769477,5238.13824943892
84,56009.3245927692,5567.80889948351,27010.9555025824,4656.91100516488
85,49433.4543306466,4935.48533697393,24819.3450865079,3973.71524587151
86,43185.705319579,4444.71773143088,22110.8007965145,3396.77615247563
87,38204.3878772379,3821.86240409207,19287.8116112532,2912.93810741688
88,35288.4670754771,3407.70817811909,16324.0214338931,2522.80331251075
89,30983.6618343714,2974.59053425739,14170.7108079656,2216.03682340556
90,28784.3925764192,2485.43711790393,12450.4139737991,1873.75633187773
91,25384.5872657485,2245.84228945586,10244.9156694513,1576.65477534432
92,20925.5080642352,1701.52422754032,8179.15881143972,1265.80889678476
93,17331.7057538237,1297.56085857504,6492.27093954843,942.462448052783
94,13071.6909880806,1061.93427648435,5278.17333184806,785.201403586944
95,10171.2432980727,697.398927691639,4078.8291551949,552.528619040719
96,7596.14872146566,530.774566473988,2920.38463799353,430.692074066817
97,5349.13150348218,463.478902089308,2143.02744776731,282.362146661204
98,3741.09835423198,289.074647335423,1507.23746081505,203.589537617555
99,2631.92509152351,238.224725429456,1051.39566319347,145.454519853562
100,3603.32337901411,329.627326651667,1413.33360605441,172.715688279812
