"Age","Partnered","Never partnered","Separated","Widowed"
20,25136,263327,646,210
21,37855,255908,1072,225
22,51805,238285,1536,238
23,69252,219399,2195,258
24,89027,201020,3043,241
25,111187,182659,4174,275
26,131635,165696,5676,273
27,149083,146858,6683,296
28,167804,130694,8381,297
29,177053,114310,9872,340
30,187319,102217,11314,357
31,189900,89186,12649,369
32,194519,79831,14144,454
33,196677,72152,15769,469
34,201267,67364,17325,493
35,205254,63468,19298,653
36,211640,60687,21727,701
37,217981,58716,24636,806
38,224666,57050,27514,990
39,234783,56879,31575,1122
40,240157,55448,34935,1406
41,226061,49700,34946,1518
42,224214,46951,36777,1644
43,214943,43420,37611,1753
44,209065,41473,38943,1903
45,209615,39480,40483,2158
46,210761,38661,42757,2550
47,216715,38145,46012,2838
48,219817,36662,47644,3217
49,218050,35480,49480,3600
50,216732,34237,50791,4052
51,209214,30902,49484,4436
52,205586,29369,49677,4934
53,200964,27017,49149,5231
54,196113,25340,48425,5742
55,193945,23716,48125,6492
56,188685,21966,47216,7027
57,183777,20005,45341,7452
58,183379,18574,45581,8281
59,177982,16668,43847,9207
60,176424,15769,43459,10059
61,174350,14585,42552,11126
62,169449,13441,40212,11881
63,169369,12648,39651,13237
64,178588,12814,40859,15613
65,146458,10306,33299,14711
66,138679,9740,31203,15864
67,132399,8998,28833,16883
68,116999,7857,25050,17028
69,114950,7542,23776,18735
70,105545,6996,21546,19491
71,101221,6592,19608,21051
72,95743,6050,17721,22639
73,88858,5799,16353,23633
74,83854,5289,14786,25296
75,77423,5083,13259,26399
76,70187,4600,11742,27194
77,64849,4293,10443,27954
78,59716,4152,9568,29948
79,55097,4149,8647,30587
80,52642,4138,7926,33927
81,48025,3893,7137,35114
82,42160,3547,6271,35340
83,37377,3318,5550,35842
84,32168,2831,4514,35240
85,27473,2753,3917,34549
86,22397,2339,3217,33672
87,17942,2119,2654,31067
88,14119,1808,2083,28315
89,11132,1603,1665,26008
90,8303,1338,1334,22531
91,5797,1025,925,18525
92,3353,802,577,13340
93,2386,631,424,10993
94,1574,506,369,9054
95,1121,403,206,6912
96,739,310,179,5404
97,435,231,122,3691
98,263,150,86,2578
99,147,139,63,1665
100,196,253,93,2670
