"Age","Total"
20,289314
21,295063
22,291861
23,291098
24,293346
25,298285
26,303282
27,302913
28,307179
29,301571
30,301214
31,292111
32,288932
33,285067
34,286442
35,288661
36,294763
37,302139
38,310217
39,324365
40,331945
41,312232
42,309590
43,297741
44,291376
45,291752
46,294727
47,303725
48,307326
49,306613
50,305802
51,294037
52,289569
53,282358
54,275626
55,272284
56,264885
57,256564
58,255818
59,247694
60,245722
61,242608
62,234992
63,234907
64,247877
65,204770
66,195487
67,187119
68,166943
69,165005
70,153572
71,148470
72,142165
73,134648
74,129230
75,122155
76,113712
77,107517
78,103398
79,98476
80,98641
81,94161
82,87294
83,82075
84,74751
85,68666
86,61645
87,53771
88,46313
89,40405
90,33498
91,26265
92,18082
93,14432
94,11499
95,8641
96,6631
97,4474
98,3080
99,2008
100,3279
