"Age","Up to secondary","Post-secondary","University"
30,83719.6233236512,123599.612314266,164671.764362083
31,82604.5275699037,125234.005171714,166758.467258383
32,79576.9536952863,125442.883396578,165254.162908135
33,77624.3887632775,126128.251454344,164396.359782378
34,76462.668520051,128139.465500841,163466.865979108
35,77641.8710802004,129485.30101433,164857.827905469
36,76676.3931512282,128527.499078588,166192.107770184
37,75751.3292238491,126498.827119063,165719.843657088
38,77432.8549083317,126553.871945855,165471.273145813
39,75812.8746528723,122126.538361013,160086.586986115
40,77900.8536974855,120618.885530367,153281.260772147
41,75732.1159048568,115102.960766683,143271.92332846
42,76087.0972561106,114632.049783828,137101.852960062
43,77100.3313912178,112336.092842594,129231.575766188
44,78996.1095341459,112773.942295569,124689.948170285
45,82337.9447307223,114520.302500691,119614.752768586
46,85229.3485687062,116224.879475327,117850.771955966
47,88630.8879018472,120928.099582937,114950.012515216
48,93967.2897959051,123338.479307042,114109.230897053
49,101510.458229818,129219.573631082,113532.9681391
50,108480.854572127,132206.809182161,110875.336245712
51,104260.633904052,122354.314810592,99443.051285356
52,107767.575986257,120128.335654987,94806.0883587557
53,106810.666951834,114831.795416611,87274.5376315551
54,107510.82578173,112511.805850646,81701.3683676241
55,109462.94789525,111160.734384958,79328.3177197916
56,112534.875293463,113115.786837166,76978.3378693707
57,116578.571171209,116283.150633669,78284.2781951226
58,122111.477827775,116438.552536667,76933.969635558
59,123055.555875941,114398.707843946,75246.7362801127
60,124699.762291448,112357.753944121,73841.4837644315
61,121715.931681048,106305.466483777,70747.6018351749
62,120535.229213765,102948.014945993,69681.7558402411
63,119563.801169281,98600.4930820087,68081.7057487107
64,118403.990836856,93949.2706588829,66654.7385042607
65,119677.80222128,90274.0964496783,64409.1013290419
66,119722.119029199,85147.4503813044,61358.430589497
67,118683.097887674,80745.3808935688,58076.5212187576
68,119454.39195142,78834.4266589882,56365.181389592
69,119052.996197617,74224.2226561278,52442.7811462555
70,120506.584532909,71494.3805387455,49192.0349283457
71,120571.498462418,68773.6863942772,46525.8151433045
72,118920.613745933,64590.9205993023,42954.4656547642
73,120553.354692112,62918.391322094,40509.253985794
74,127296.722895911,64953.3045495634,41008.9725545255
75,106805.836714377,50905.4706913305,31727.6925942927
76,102572.366009082,47016.3006067081,28597.3333842103
77,97093.9258354879,43617.8072187795,26125.2669457326
78,86900.7661911892,36969.8000315234,22060.4337772874
79,84911.4471181391,35774.3208924684,20852.2319893925
80,78714.2499635409,31333.7491614409,17600.0008750182
81,75552.2726312082,29040.9087706939,15718.8185980979
82,71537.5774770657,26165.8921050673,13858.530417867
83,66564.1994614236,23018.5675278402,12231.2330107363
84,62302.4839758477,20783.1346441658,10162.3813799866
85,56613.0840703437,17797.2680281258,8743.64790153054
86,50869.2455229734,14854.5618105045,7410.19266652202
87,45397.4122522592,12713.3454461733,6110.24230156751
88,40904.6498165336,11160.3293330455,5469.02085042089
89,36435.1154252376,9467.43207765428,4449.45249710808
90,33297.9314489018,8389.93946100403,3903.12909009413
91,28857.4609185612,7211.45790473695,3375.08117670183
92,23646.9048772477,5759.99158387388,2662.1035388784
93,19511.7511309917,4485.68850709094,2072.56036191735
94,15433.1193610907,3175.62220143019,1568.25843747912
95,11847.8030793456,2484.28238999213,1168.91453066223
96,8928.7964506908,1741.20414483087,804.999404478323
97,6418.29030077729,1241.08279824265,574.626900980061
98,4524.76138882049,814.711647377493,404.526963802019
99,3230.56338526912,576.628895184136,263.807719546742
100,4536.5285639413,680.55214884696,343.91928721174
