"Age","Christianity","None","Other"
20,119052.305589063,149880.851054053,32442.8433568844
21,115865.144913741,157969.982502354,38829.8725839056
22,111298.396181951,164277.692244179,38938.9115738702
23,108820.217688344,169944.160532984,41156.6217786718
24,106583.699892664,178365.4017351,46108.8983722358
25,105918.076304849,183185.135848707,51980.7878464444
26,106979.041420374,191488.521430138,54828.4371494872
27,107580.221404526,192678.271303782,55323.5072916923
28,108757.373392906,195005.76675481,55456.8598522841
29,111890.118533411,195257.855351561,55337.0261150279
30,116310.196474055,198864.987029183,56814.8164967617
31,119051.356152822,196851.551574423,58695.092272755
32,119535.467939276,191622.223512567,59121.3085481571
33,121801.104426858,185021.744775566,61328.1507975764
34,124576.67815273,180931.530209799,62559.7916374706
35,129563.751175271,178430.070840154,63979.1779845748
36,133104.553640316,173895.740868618,64382.7054910668
37,135302.124656144,169937.433298519,62727.4420453375
38,139382.378106391,167969.998253388,62113.6236402213
39,138819.217212024,160836.98842475,58368.7943632252
40,141441.059283557,155285.267137377,55073.6735790664
41,139145.422871954,144227.139420858,50738.4377071881
42,141090.299733719,140998.694552747,45739.0057135343
43,141226.962181339,135898.232007163,41548.805811498
44,144109.218043424,133145.650258089,39195.1316984869
45,147370.741221738,132787.97524176,36302.2835365023
46,152661.88393913,132041.842554754,34592.2735061164
47,159042.02993329,133433.093334306,32038.8767324041
48,165318.914491633,135432.275600218,30663.8099081484
49,175211.422942664,139528.555244087,29532.0218132498
50,181329.465259096,141404.522722462,28827.0120184418
51,173018.64503685,125972.602928263,27063.7520348866
52,173627.381422399,123533.753672316,25528.8649052841
53,169430.436392792,114998.033750764,24497.5298564447
54,168536.084820493,110210.97732933,22970.9378501768
55,168497.733812255,108242.82321495,23210.4429727952
56,170838.44085896,108944.427908754,22851.1312322863
57,176165.08571596,112589.273418917,22384.6408651228
58,178918.497228828,114443.479132006,22121.0236391659
59,180169.068594013,111366.328912594,21159.6024933929
60,181027.727798841,109365.327494285,20507.9447068736
61,175339.427303315,103462.667191639,19967.9055050469
62,173595.26389289,100441.817989565,19122.9181175458
63,169792.604209472,97872.2144559589,18590.1813345686
64,165762.408357541,94952.1856264707,18298.4060159885
65,164244.692293592,91871.478956462,18238.8287499464
66,161337.729506087,87481.8060938932,17391.4644000193
67,159240.117357949,82138.5015904697,16135.3810515811
68,159966.236084824,79637.1675204616,15052.596394714
69,157187.49810668,74502.9401588733,14037.5617344471
70,157319.287073248,70873.8709277911,12999.8419989613
71,155872.510498355,67413.1421312204,12575.3473704251
72,152737.194338071,62357.3561777248,11361.4494842047
73,153917.52327925,59346.2046946289,10722.2720261206
74,163160.92892775,60279.3281362172,9827.74293603314
75,134954.511284767,46394.9470577887,8086.54165744477
76,128787.178217822,42164.5693069307,7233.25247524752
77,122464.398425502,37983.6965606246,6383.90501387365
78,108149.302800432,32127.1906129276,5642.50658664022
79,106168.355363171,30286.7631294923,5087.8815073369
80,97052.1082200384,26040.3258821732,4567.56589778841
81,92774.1306658952,23320.2495073135,4224.6198267913
82,86850.9393862293,21017.8530942968,3692.20751947391
83,79587.7206252826,18802.5962577784,3410.68311693904
84,73237.5422817526,17020.6581733717,3000.79954487573
85,65644.260851712,14852.1062719385,2664.63287634943
86,58069.1520049689,12806.5207313933,2253.32726363788
87,51028.4275618375,11277.9655996674,1923.60683849512
88,45675.3185287589,10106.7550527669,1750.92641847424
89,40004.946992177,8796.17642298354,1544.87658483949
90,36261.0929471976,7981.1282486581,1348.7788041443
91,31311.1836034097,6889.28696942368,1260.52942716667
92,25497.0305122736,5638.30928021402,935.660207512382
93,20779.6861920944,4560.96798426042,733.345823645144
94,16114.9497663551,3461.11869158878,605.931542056075
95,12328.2159186482,2750.39559599358,413.388485358208
96,9120.73544591247,2016.16257225434,346.101981833196
97,6574.10563997662,1392.82919345412,272.065166569258
98,4553.835610679,1020.1461004835,169.018288837503
99,3154.53658536585,726.439024390244,199.024390243902
100,4345.28922664283,959.733571747877,206.977201609298
