"Age","Regional","Capital cities","Sydney","Melbourne"
20,89250.5879378142,87761.4446483383,63431.103515787,60940.8638980604
21,89587.8829394529,90210.9447181206,68066.7490467538,64781.4232956726
22,89788.707010704,91379.8790314887,68276.3813242936,65051.0326335138
23,90192.9162466703,92656.3782844136,70181.162916922,66873.5425519941
24,92527.2113662457,94409.541162608,73164.8189497855,70936.4285213608
25,94735.221713287,97062.5219563834,75274.7111287707,73988.5452015589
26,98969.2860923965,99970.4306063523,77924.248267565,76447.0350336862
27,99957.4282901584,99806.4019576407,78894.7558630777,76933.4138891233
28,101320.795147648,99876.5700038422,80247.509981457,77777.1248670531
29,102384.924654813,100797.63126221,81250.0181147423,78046.4259682351
30,104038.66278679,103405.567475714,83901.6312019553,80629.1385355413
31,103878.975064948,104545.071088529,84378.1638520504,81784.7899944731
32,101660.276239274,103446.527084003,84114.8123148146,81067.3843619087
33,100716.065727878,103260.597941113,82830.3247541861,81333.0115768224
34,101613.497368142,103014.75244775,82619.0396830357,80810.710501072
35,103197.813928601,104752.052098486,83135.7396366335,80882.3943362794
36,102923.796527097,104606.054716534,83090.7525933666,80768.3961630024
37,102376.536783075,103648.816857992,83071.2869985022,78857.3593604315
38,103371.94256925,103683.011608516,83429.5165085656,78981.5293136682
39,100869.439524645,100033.278379949,80746.5614503134,76383.7206450928
40,101375.577664438,97994.9914994996,78802.6637128139,73631.7671232487
41,96554.9166087935,93297.3121318071,74526.8291046027,69746.9421547967
42,96703.5839092032,90982.4844629537,72645.9606608393,67495.9709670038
43,95498.3826321142,88528.1139025952,69759.6976722287,64859.8057930619
44,96540.0327796319,87620.736296521,68676.9826873483,63624.2482364988
45,98393.8561365252,87231.0572552738,67960.9518843328,62890.1347238682
46,99866.699755685,87991.951866817,67925.9982835307,63522.3500939673
47,103821.354438027,88489.9056545619,68423.391726204,63784.3481812073
48,107628.083684433,90428.554596487,69380.2357940484,63971.1259250317
49,113473.072475726,93442.999761765,71094.4556330949,66257.4721294139
50,117496.068720642,94980.073122018,71567.8786847653,67514.9794725746
51,108569.640334005,88906.1776288948,65433.8504860683,63147.3315510318
52,109060.685830833,87184.5335879188,64378.1622610162,62068.6183202321
53,104487.985365301,83322.5319324602,61642.9703258811,59466.5123763578
54,104507.130676657,81074.3927261877,59493.0291118258,56616.4474853297
55,104971.9990662,79452.1921960981,59475.863931966,56029.9448057362
56,107031.695697151,79884.6856332647,60172.3215221753,55545.2971474087
57,112313.795440736,81521.1748767919,61344.1814703963,55956.8482120755
58,115993.207134772,81271.0627780085,62183.5856575347,56039.1444296843
59,117893.064105722,79937.7753308616,60386.9604693643,54468.200094052
60,118671.101004739,79150.0755597165,59247.5304011556,53829.2930343889
61,114705.713295703,75996.3485795017,56399.1012728575,51676.8368519374
62,114466.236522451,74121.2268322642,54152.7776716255,50419.7589736591
63,112145.34105347,71424.9610032917,54044.1036068461,48643.594336392
64,109848.741064194,69745.2482988807,51914.5830447346,47498.4275921903
65,108532.692058087,68954.5937275548,50286.8306578338,46574.8835565246
66,106460.392917933,66242.9114027738,48814.9359653111,44694.7597139819
67,104122.026338993,64163.9572306963,46881.4672151206,42335.5492151905
68,104057.516810683,63459.9516889238,45560.7344854674,41581.7970149254
69,100370.102191029,62173.930023042,43089.347181625,40063.6206043039
70,98898.1117990785,60266.7402095973,42527.5184652199,39507.6295261043
71,96669.78720228,59082.038678157,41919.2176155256,38200.9565040375
72,92828.9540268975,57044.1054258773,39826.8480754367,36771.0924717885
73,90809.2184660042,55930.9892374679,40203.1802612482,37021.6120352797
74,95595.2451285129,58841.3061373234,40460.3362129949,38373.1125211687
75,76603.7492146127,46806.4010411992,34340.1635400772,31680.6862041109
76,73297.2199494808,43848.1049284311,31630.5679932641,29411.107128824
77,68003.7822537136,40924.8869906125,30103.3303240657,27810.0004316081
78,59233.3961695069,35942.1286382144,26256.9382446087,24482.53694767
79,57433.7374887835,35005.9350116227,25011.2404810186,24106.0870185752
80,50944.572507541,31194.0860108904,23566.3533043444,21958.9881772241
81,47590.3303428149,29436.9156224796,22175.9497875596,21081.804247146
82,44111.6983486633,27458.4145016406,20343.011421297,19654.875728399
83,39813.2115701992,25030.1625309442,18767.8709183072,18205.7549805493
84,36589.3153328973,22661.6727108957,17369.0485003807,16647.9634558264
85,32341.500962325,19915.1558124429,15758.7058773998,15125.6373478324
86,27771.0381990508,18021.9716345036,14014.5332138901,13317.4569525555
87,24217.8853939583,15703.22251635,12260.9545312987,12042.937558393
88,21814.1704620519,14073.690626847,11058.1141049265,10591.0248061746
89,18924.6309788654,12440.7295606229,9758.35664627364,9227.28281423804
90,17033.6151534429,11314.7371399741,8877.36293241494,8368.28477416807
91,14612.5933157521,9703.72213206208,7765.37813165636,7361.30642052947
92,11680.0931640198,7927.74197372937,6477.60625253502,5968.55860971576
93,9524,6604,5121,4816
94,7286,4968,4100,3830
95,5498,3928,3139,2927
96,4135,2911,2345,2071
97,2870,2090,1704,1561
98,1938,1465,1301,1042
99,1391,1066,864,747
100,1851,1458,1187,1039
